Day,Date,City,Kind,#,Activity,Start,End,Min,Travel to next (min),Capped,Now start,Now min,Suggested,Note
1,2026-08-11,Beijing,hub,1,Land at PEK,05:00,06:38,98,36,,05:00,98,90,
1,2026-08-11,Beijing,sight,2,Drop bags at Regent Beijing,07:14,07:29,15,16,,07:14,15,20,
1,2026-08-11,Beijing,meal,3,Breakfast,07:45,08:19,34,21,,07:45,34,35,
1,2026-08-11,Beijing,sight,4,Temple of Heaven,08:40,10:34,114,23,,08:40,114,120,
1,2026-08-11,Beijing,sight,5,Qianmen & hutongs,10:57,12:09,72,26,,10:57,72,90,
1,2026-08-11,Beijing,meal,6,Lunch,12:35,14:01,86,2,,12:35,86,60,
1,2026-08-11,Beijing,sight,7,Beijing city model,14:03,15:38,95,13,,14:03,95,90,
1,2026-08-11,Beijing,sight,8,Wangfujing,15:51,17:26,95,0,,15:51,95,75,
1,2026-08-11,Beijing,sight,9,Shichahai lakes,17:26,18:41,75,23,,17:26,75,90,
1,2026-08-11,Beijing,meal,10,Dinner,19:04,20:34,90,2,,19:04,90,90,
1,2026-08-11,Beijing,endpoint,11,Back to the hotel,20:36,,,,,,,,walk 2m/0.1km (routed)
2,2026-08-12,Beijing,meal,1,Breakfast,06:30,07:04,34,19,,06:30,34,35,
2,2026-08-12,Beijing,sight,2,Tiananmen Square,07:23,08:46,83,16,,07:23,83,75,
2,2026-08-12,Beijing,sight,3,Forbidden City,09:02,12:28,206,12,,09:02,206,210,
2,2026-08-12,Beijing,meal,4,Lunch,12:40,13:51,71,6,,12:40,71,60,
2,2026-08-12,Beijing,sight,5,National Museum,13:57,17:42,225,18,closes 17:00 (−42m),13:57,225,180,
2,2026-08-12,Beijing,meal,6,Dinner,18:00,19:56,116,4,,18:00,116,90,
2,2026-08-12,Beijing,sight,7,Jingshan Park,20:00,21:00,60,20,,20:00,60,45,
2,2026-08-12,Beijing,endpoint,8,Back to the hotel,21:20,,,,,,,,metro 20m/4.1km (routed)
3,2026-08-13,Beijing,meal,1,Breakfast,07:00,07:56,56,82,,07:00,56,35,
3,2026-08-13,Beijing,sight,2,Mutianyu Great Wall,09:18,10:53,95,78,,09:18,95,165,
3,2026-08-13,Beijing,meal,3,Lunch,12:11,12:52,41,27,,12:11,41,60,
3,2026-08-13,Beijing,sight,4,Toboggan down,13:19,14:51,92,27,,13:19,92,20,
3,2026-08-13,Beijing,sight,5,Sanlitun Taikoo Li,15:18,17:39,141,21,,15:18,141,150,
3,2026-08-13,Beijing,meal,6,Dinner,18:00,19:43,103,5,,18:00,103,90,
3,2026-08-13,Beijing,sight,7,CCTV 'Big Pants',19:48,20:48,60,25,,19:48,60,60,
3,2026-08-13,Beijing,endpoint,8,Back to the hotel,21:13,,,,,,,,metro 25m/6.2km (routed)
4,2026-08-14,Beijing,meal,1,Breakfast,07:00,07:34,34,39,,07:00,34,35,
4,2026-08-14,Beijing,sight,2,Summer Palace,08:13,11:24,191,36,,08:13,191,210,
4,2026-08-14,Beijing,meal,3,Lunch,12:00,13:43,103,1,,12:00,103,60,
